model,refs,layer,head,window,beyond_mass
Qwen/Qwen3-32B,c4,2,17,2048,0.170239
Qwen/Qwen3-32B,c4,2,18,128,0.647066
Qwen/Qwen3-32B,c4,2,18,512,0.462864
Qwen/Qwen3-32B,c4,2,18,2048,0.182704
Qwen/Qwen3-32B,c4,2,19,128,0.747859
Qwen/Qwen3-32B,c4,2,19,512,0.538006
Qwen/Qwen3-32B,c4,2,19,2048,0.129904
Qwen/Qwen3-32B,c4,2,20,128,0.662749
Qwen/Qwen3-32B,c4,2,20,512,0.460297
Qwen/Qwen3-32B,c4,2,20,2048,0.152001
Qwen/Qwen3-32B,c4,2,21,128,0.479178
Qwen/Qwen3-32B,c4,2,21,512,0.305694
Qwen/Qwen3-32B,c4,2,21,2048,0.107355
Qwen/Qwen3-32B,c4,2,22,128,0.482365
Qwen/Qwen3-32B,c4,2,22,512,0.257627
Qwen/Qwen3-32B,c4,2,22,2048,0.081862
Qwen/Qwen3-32B,c4,2,23,128,0.453183
Qwen/Qwen3-32B,c4,2,23,512,0.281763
Qwen/Qwen3-32B,c4,2,23,2048,0.083326
Qwen/Qwen3-32B,c4,2,24,128,0.618381
Qwen/Qwen3-32B,c4,2,24,512,0.458690
Qwen/Qwen3-32B,c4,2,24,2048,0.136339
Qwen/Qwen3-32B,c4,2,25,128,0.490903
Qwen/Qwen3-32B,c4,2,25,512,0.363579
Qwen/Qwen3-32B,c4,2,25,2048,0.101862
Qwen/Qwen3-32B,c4,2,26,128,0.509870
Qwen/Qwen3-32B,c4,2,26,512,0.356118
Qwen/Qwen3-32B,c4,2,26,2048,0.087172
Qwen/Qwen3-32B,c4,2,27,128,0.448590
Qwen/Qwen3-32B,c4,2,27,512,0.319035
Qwen/Qwen3-32B,c4,2,27,2048,0.091869
Qwen/Qwen3-32B,c4,2,28,128,0.361527
Qwen/Qwen3-32B,c4,2,28,512,0.245887
Qwen/Qwen3-32B,c4,2,28,2048,0.060203
Qwen/Qwen3-32B,c4,2,29,128,0.530966
Qwen/Qwen3-32B,c4,2,29,512,0.358820
Qwen/Qwen3-32B,c4,2,29,2048,0.090839
Qwen/Qwen3-32B,c4,2,30,128,0.349360
Qwen/Qwen3-32B,c4,2,30,512,0.237251
Qwen/Qwen3-32B,c4,2,30,2048,0.049830
Qwen/Qwen3-32B,c4,2,31,128,0.274403
Qwen/Qwen3-32B,c4,2,31,512,0.178920
Qwen/Qwen3-32B,c4,2,31,2048,0.048864
Qwen/Qwen3-32B,c4,2,32,128,0.561202
Qwen/Qwen3-32B,c4,2,32,512,0.391976
Qwen/Qwen3-32B,c4,2,32,2048,0.109668
Qwen/Qwen3-32B,c4,2,33,128,0.457791
Qwen/Qwen3-32B,c4,2,33,512,0.305012
Qwen/Qwen3-32B,c4,2,33,2048,0.065988
Qwen/Qwen3-32B,c4,2,34,128,0.584727
Qwen/Qwen3-32B,c4,2,34,512,0.410585
Qwen/Qwen3-32B,c4,2,34,2048,0.123167
Qwen/Qwen3-32B,c4,2,35,128,0.441017
