model,refs,layer,head,window,beyond_mass
Qwen/Qwen3-8B,cnndm,3,5,2048,0.320478
Qwen/Qwen3-8B,cnndm,3,6,128,0.690011
Qwen/Qwen3-8B,cnndm,3,6,512,0.470875
Qwen/Qwen3-8B,cnndm,3,6,2048,0.214618
Qwen/Qwen3-8B,cnndm,3,7,128,0.620174
Qwen/Qwen3-8B,cnndm,3,7,512,0.528097
Qwen/Qwen3-8B,cnndm,3,7,2048,0.254180
Qwen/Qwen3-8B,cnndm,3,8,128,0.539846
Qwen/Qwen3-8B,cnndm,3,8,512,0.281596
Qwen/Qwen3-8B,cnndm,3,8,2048,0.075590
Qwen/Qwen3-8B,cnndm,3,9,128,0.586423
Qwen/Qwen3-8B,cnndm,3,9,512,0.343204
Qwen/Qwen3-8B,cnndm,3,9,2048,0.066484
Qwen/Qwen3-8B,cnndm,3,10,128,0.629230
Qwen/Qwen3-8B,cnndm,3,10,512,0.340785
Qwen/Qwen3-8B,cnndm,3,10,2048,0.074299
Qwen/Qwen3-8B,cnndm,3,11,128,0.532787
Qwen/Qwen3-8B,cnndm,3,11,512,0.313362
Qwen/Qwen3-8B,cnndm,3,11,2048,0.075750
Qwen/Qwen3-8B,cnndm,3,12,128,0.753767
Qwen/Qwen3-8B,cnndm,3,12,512,0.666797
Qwen/Qwen3-8B,cnndm,3,12,2048,0.289777
Qwen/Qwen3-8B,cnndm,3,13,128,0.662331
Qwen/Qwen3-8B,cnndm,3,13,512,0.460765
Qwen/Qwen3-8B,cnndm,3,13,2048,0.180524
Qwen/Qwen3-8B,cnndm,3,14,128,0.636087
Qwen/Qwen3-8B,cnndm,3,14,512,0.486279
Qwen/Qwen3-8B,cnndm,3,14,2048,0.238148
Qwen/Qwen3-8B,cnndm,3,15,128,0.696973
Qwen/Qwen3-8B,cnndm,3,15,512,0.447560
Qwen/Qwen3-8B,cnndm,3,15,2048,0.165703
Qwen/Qwen3-8B,cnndm,3,16,128,0.539670
Qwen/Qwen3-8B,cnndm,3,16,512,0.403595
Qwen/Qwen3-8B,cnndm,3,16,2048,0.154095
Qwen/Qwen3-8B,cnndm,3,17,128,0.444406
Qwen/Qwen3-8B,cnndm,3,17,512,0.320361
Qwen/Qwen3-8B,cnndm,3,17,2048,0.120354
Qwen/Qwen3-8B,cnndm,3,18,128,0.369469
Qwen/Qwen3-8B,cnndm,3,18,512,0.266636
Qwen/Qwen3-8B,cnndm,3,18,2048,0.101966
Qwen/Qwen3-8B,cnndm,3,19,128,0.661100
Qwen/Qwen3-8B,cnndm,3,19,512,0.428859
Qwen/Qwen3-8B,cnndm,3,19,2048,0.144088
Qwen/Qwen3-8B,cnndm,3,20,128,0.732199
Qwen/Qwen3-8B,cnndm,3,20,512,0.539212
Qwen/Qwen3-8B,cnndm,3,20,2048,0.223007
Qwen/Qwen3-8B,cnndm,3,21,128,0.534058
Qwen/Qwen3-8B,cnndm,3,21,512,0.308068
Qwen/Qwen3-8B,cnndm,3,21,2048,0.095043
Qwen/Qwen3-8B,cnndm,3,22,128,0.667342
Qwen/Qwen3-8B,cnndm,3,22,512,0.374068
Qwen/Qwen3-8B,cnndm,3,22,2048,0.067644
Qwen/Qwen3-8B,cnndm,3,23,128,0.627380
Qwen/Qwen3-8B,cnndm,3,23,512,0.432109
Qwen/Qwen3-8B,cnndm,3,23,2048,0.167550
Qwen/Qwen3-8B,cnndm,3,24,128,0.573291
Qwen/Qwen3-8B,cnndm,3,24,512,0.469613
Qwen/Qwen3-8B,cnndm,3,24,2048,0.192857
Qwen/Qwen3-8B,cnndm,3,25,128,0.489856
Qwen/Qwen3-8B,cnndm,3,25,512,0.397682
Qwen/Qwen3-8B,cnndm,3,25,2048,0.159944
Qwen/Qwen3-8B,cnndm,3,26,128,0.489606
Qwen/Qwen3-8B,cnndm,3,26,512,0.395563
Qwen/Qwen3-8B,cnndm,3,26,2048,0.154268
Qwen/Qwen3-8B,cnndm,3,27,128,0.548635
Qwen/Qwen3-8B,cnndm,3,27,512,0.449953
Qwen/Qwen3-8B,cnndm,3,27,2048,0.184199
Qwen/Qwen3-8B,cnndm,3,28,128,0.645889
Qwen/Qwen3-8B,cnndm,3,28,512,0.503636
Qwen/Qwen3-8B,cnndm,3,28,2048,0.197000
Qwen/Qwen3-8B,cnndm,3,29,128,0.610843
Qwen/Qwen3-8B,cnndm,3,29,512,0.467431
Qwen/Qwen3-8B,cnndm,3,29,2048,0.172453
Qwen/Qwen3-8B,cnndm,3,30,128,0.691364
Qwen/Qwen3-8B,cnndm,3,30,512,0.551213
Qwen/Qwen3-8B,cnndm,3,30,2048,0.222429
Qwen/Qwen3-8B,cnndm,3,31,128,0.586490
Qwen/Qwen3-8B,cnndm,3,31,512,0.462806
Qwen/Qwen3-8B,cnndm,3,31,2048,0.188157
Qwen/Qwen3-8B,cnndm,4,0,128,0.478770
Qwen/Qwen3-8B,cnndm,4,0,512,0.307486
Qwen/Qwen3-8B,cnndm,4,0,2048,0.106613
Qwen/Qwen3-8B,cnndm,4,1,128,0.625618
Qwen/Qwen3-8B,cnndm,4,1,512,0.443040
Qwen/Qwen3-8B,cnndm,4,1,2048,0.180258
Qwen/Qwen3-8B,cnndm,4,2,128,0.706995
Qwen/Qwen3-8B,cnndm,4,2,512,0.485973
Qwen/Qwen3-8B,cnndm,4,2,2048,0.166797
Qwen/Qwen3-8B,cnndm,4,3,128,0.572872
Qwen/Qwen3-8B,cnndm,4,3,512,0.389954
Qwen/Qwen3-8B,cnndm,4,3,2048,0.151614
Qwen/Qwen3-8B,cnndm,4,4,128,0.638151
Qwen/Qwen3-8B,cnndm,4,4,512,0.460711
Qwen/Qwen3-8B,cnndm,4,4,2048,0.194006
Qwen/Qwen3-8B,cnndm,4,5,128,0.423815
Qwen/Qwen3-8B,cnndm,4,5,512,0.335190
Qwen/Qwen3-8B,cnndm,4,5,2048,0.144320
Qwen/Qwen3-8B,cnndm,4,6,128,0.498147
Qwen/Qwen3-8B,cnndm,4,6,512,0.413922
Qwen/Qwen3-8B,cnndm,4,6,2048,0.198841
Qwen/Qwen3-8B,cnndm,4,7,128,0.716130
Qwen/Qwen3-8B,cnndm,4,7,512,0.596385
Qwen/Qwen3-8B,cnndm,4,7,2048,0.298592
Qwen/Qwen3-8B,cnndm,4,8,128,0.600128
Qwen/Qwen3-8B,cnndm,4,8,512,0.485587
Qwen/Qwen3-8B,cnndm,4,8,2048,0.230781
Qwen/Qwen3-8B,cnndm,4,9,128,0.589207
Qwen/Qwen3-8B,cnndm,4,9,512,0.475678
Qwen/Qwen3-8B,cnndm,4,9,2048,0.218783
Qwen/Qwen3-8B,cnndm,4,10,128,0.559102
Qwen/Qwen3-8B,cnndm,4,10,512,0.445703
Qwen/Qwen3-8B,cnndm,4,10,2048,0.205308
Qwen/Qwen3-8B,cnndm,4,11,128,0.528421
Qwen/Qwen3-8B,cnndm,4,11,512,0.423459
Qwen/Qwen3-8B,cnndm,4,11,2048,0.160990
Qwen/Qwen3-8B,cnndm,4,12,128,0.469138
Qwen/Qwen3-8B,cnndm,4,12,512,0.381529
Qwen/Qwen3-8B,cnndm,4,12,2048,0.175102
Qwen/Qwen3-8B,cnndm,4,13,128,0.491744
Qwen/Qwen3-8B,cnndm,4,13,512,0.401472
Qwen/Qwen3-8B,cnndm,4,13,2048,0.185528
Qwen/Qwen3-8B,cnndm,4,14,128,0.586840
Qwen/Qwen3-8B,cnndm,4,14,512,0.490636
Qwen/Qwen3-8B,cnndm,4,14,2048,0.229048
Qwen/Qwen3-8B,cnndm,4,15,128,0.512340
Qwen/Qwen3-8B,cnndm,4,15,512,0.420523
Qwen/Qwen3-8B,cnndm,4,15,2048,0.198014
Qwen/Qwen3-8B,cnndm,4,16,128,0.548090
Qwen/Qwen3-8B,cnndm,4,16,512,0.434946
Qwen/Qwen3-8B,cnndm,4,16,2048,0.186747
Qwen/Qwen3-8B,cnndm,4,17,128,0.573846
Qwen/Qwen3-8B,cnndm,4,17,512,0.458173
Qwen/Qwen3-8B,cnndm,4,17,2048,0.202263
Qwen/Qwen3-8B,cnndm,4,18,128,0.574735
Qwen/Qwen3-8B,cnndm,4,18,512,0.465180
Qwen/Qwen3-8B,cnndm,4,18,2048,0.207321
Qwen/Qwen3-8B,cnndm,4,19,128,0.606890
Qwen/Qwen3-8B,cnndm,4,19,512,0.489583
Qwen/Qwen3-8B,cnndm,4,19,2048,0.216362
Qwen/Qwen3-8B,cnndm,4,20,128,0.695061
